Sistema de Información Energética,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector Energético,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comercio exterior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(megawatts-hora),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ENE/2022,FEB/2022,MAR/2022,ABR/2022,MAY/2022,JUN/2022,JUL/2022,AGO/2022,SEP/2022,OCT/2022,NOV/2022,DIC/2022,ENE/2023,FEB/2023,MAR/2023,ABR/2023,MAY/2023,JUN/2023,JUL/2023,AGO/2023,SEP/2023,OCT/2023,NOV/2023,DIC/2023,ENE/2024,FEB/2024,MAR/2024,ABR/2024,MAY/2024,JUN/2024,JUL/2024,AGO/2024,SEP/2024,OCT/2024,NOV/2024,DIC/2024,ENE/2025,FEB/2025,MAR/2025,ABR/2025,MAY/2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energía eléctrica exportada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estados Unidos,115661.039,79618.862,115717.144,92845.352,80268.803,129959.954,113106.694,183630.140,112293.313,146890.009,96804.115,179963.694,218424.344,146136.791,178832.743,273540.030,132488.584,150315.093,168810.142,232085.350,236043.906,220495.586,246842.152,220936.764,194202.762,233756.236,121760.151,206658.645,65517.722,143363.580,119096.370,211972.609,199157.208,186060.874,171211.779,223370.697,208810.819,179962.220,156956.946,91706.397,138252.199
Belice,39635.909,35457.703,22031.983,33380.007,30825.360,33185.986,29046.285,29203.017,17955.850,19746.241,,30665.485,23339.954,56477.201,35425.666,33991.507,37139.673,,70427.217,38081.605,39541.887,38794.426,40324.769,32508.518,26467.609,N/D,68865.539,34544.609,37183.638,22600.315,36168.945,40024.335,4040.003,37261.789,36243.411,24657.183,29760.747,30720.976,32941.754,34084.320,36548.973
Guatemala,102059.900,107829.719,100070.279,100837.799,155346.299,158424.359,54791.119,105684.599,74922.239,68184.203,61035.908,131989.510,81747.661,90206.600,95114.812,182993.256,196892.839,175456.052,130647.010,168974.363,124319.635,142863.082,146288.368,95483.378,153857.608,97340.999,190180.137,132758.863,148872.720,162674.201,87784.770,96808.053,113136.688,154200.329,156788.598,186379.957,112187.876,102693.831,129927.305,144196.740,153916.151
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energía eléctrica importada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estados Unidos,219792.154,134174.324,245284.144,463067.436,393346.387,490658.009,449810.980,474246.780,532971.185,457995.311,340752.052,293651.406,232608.579,6562.701,125749.916,48329.463,79116.549,107455.177,70498.886,21628402.004,92204.545,102907.969,71648.456,44236.112,38790.607,114686.633,106259.926,111799.654,92199.474,170705.797,131416.472,99943.934,103782.570,81986.662,96794.182,51377.181,92106.132,73285.650,81695.814,53313.978,48149.416
Guatemala,6510.087,5090.428,3858.778,2152.242,3334.234,3378.817,2338.726,1751.612,3921.538,9673.645,8636.000,4926.000,3743.570,402720.403,,1537.307,,590.254,2742.659,3737.436,2764.136,2939.819,1945.224,2315.401,1397.289,2617.985,2189.032,1976.281,955.958,N/D,2902.436,3876.348,2809.917,N/D,2464.574,1904.206,2145.843,2904.029,1745.735,1475.741,727.580
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notas:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Conforme a los aspectos metodológicos del programa de la Balanza Comercial de Mercancías de México (BCMM), la variable cantidad no presenta tratamiento estadístico, por lo que, la información corresponde al dato del campo original en el pedimento aduanal, asimismo, se realizó una conversión de Kilowatts-Hora a Megawatts-Hora en la unidad de medida, Kilowatts-Hora es la determinada por la Tarifa de la Ley de los Impuestos Generales de Importación y de Exportación (TIGIE).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fuente: Para el año 2020 y anteriores la fuente es Sistema de Información Arancelaria Vía Internet (SIAVI). A partir del año 2021 la fuente es INEGI con base en SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,